iso3,regional
AFG,
AGO,ROSEA
BDI,ROSEA
BFA,
BGD,ROAP
CAF,
COD,
COL,
ETH,
GIN,ROWCA
GNB,ROWCA
HTI,
JAM,ROLAC
JPN,ROAP
KEN,ROSEA
KHM,ROAP
MDG,ROSEA
MLI,
MOZ,
PAK,
PHL,
SSD,
SYC,ROSEA
UKR,
VEN,
VNM,ROAP
YEM,
